Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
200	ENSG00000008056.14	SYN1	protein_coding	19	80	52	48	27	180	73	421
201	ENSG00000008083.14	JARID2	protein_coding	3313	4504	3493	943	5842	3198	3875	1189
202	ENSG00000008086.13	CDKL5	protein_coding	2240	3369	2216	1466	1056	1911	5446	1256
203	ENSG00000008118.10	CAMK1G	protein_coding	11	18	93	6	25	243	83	33
204	ENSG00000008128.23	CDK11A	protein_coding	25	348	144	43	37	97	191	63
205	ENSG00000008130.15	NADK	protein_coding	2328	13390	10994	3381	6048	4060	10458	2858
206	ENSG00000008196.13	TFAP2B	protein_coding	378	37	1	0	0	1	0	1
207	ENSG00000008197.5	TFAP2D	protein_coding	0	0	0	0	0	0	0	0
208	ENSG00000008226.20	DLEC1	protein_coding	18	183	138	52	12	57	192	61
209	ENSG00000008256.16	CYTH3	protein_coding	1673	3121	3212	1372	2607	1957	14070	3315
210	ENSG00000008277.14	ADAM22	protein_coding	93	607	394	129	15	97	2678	374
211	ENSG00000008282.9	SYPL1	protein_coding	12626	14358	8805	5618	19332	5107	9576	5190
212	ENSG00000008283.16	CYB561	protein_coding	3889	12714	9796	3314	4083	4710	5822	2317
213	ENSG00000008294.21	SPAG9	protein_coding	5280	8521	10531	4371	15380	8905	27079	7221
214	ENSG00000008300.17	CELSR3	protein_coding	147	716	3304	228	739	2302	3933	284
215	ENSG00000008311.15	AASS	protein_coding	597	1340	353	924	845	333	1717	2415
216	ENSG00000008323.15	PLEKHG6	protein_coding	6973	9075	3580	1025	45	1671	19699	470
217	ENSG00000008324.12	SS18L2	protein_coding	311	1112	888	510	887	827	996	359
218	ENSG00000008382.16	MPND	protein_coding	476	669	495	271	417	231	774	322
219	ENSG00000008394.13	MGST1	protein_coding	9664	5840	10085	4155	136	4016	9471	1506
220	ENSG00000008405.12	CRY1	protein_coding	894	3373	2747	1593	1627	3032	3672	2029
221	ENSG00000008438.5	PGLYRP1	protein_coding	5	32	47	5	9	23	49	1
222	ENSG00000008441.18	NFIX	protein_coding	13728	18903	7814	6892	4803	1940	4455	18740
223	ENSG00000008513.16	ST3GAL1	protein_coding	3977	4069	8322	6786	4763	6509	8788	5244
224	ENSG00000008516.17	MMP25	protein_coding	56	224	576	34	85	302	489	28
225	ENSG00000008517.18	IL32	protein_coding	453	1472	8703	517	1534	7159	15056	345
226	ENSG00000008710.20	PKD1	protein_coding	4785	12229	6004	4067	5433	3656	9365	25066
